Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,17,20
1,1,19
2,16,20
3,19,22
4,35,39
5,20,29
6,34,37
7,33,37
8,27,31
9,34,37
10,34,37
11,33,37
12,21,23
13,20,23
14,1,43
15,33,36
16,28,34
17,20,25
18,28,38
19,33,37
20,36,39
21,34,37
22,22,24
23,7,13
24,26,43
25,35,38
26,27,31
27,25,44
28,36,39
29,28,30
30,25,42
31,32,35
32,34,38
33,31,33
34,5,43
35,34,37
36,26,44
37,34,37
38,34,37
39,36,39
40,25,26
41,7,39
42,23,44
43,31,36
44,36,40
45,32,34
46,27,37
47,5,43
48,19,41
49,22,27
50,23,32
51,33,38
52,26,41
53,5,42
54,25,42
55,27,47
56,35,40
57,35,40
58,35,39
59,29,48
