Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,22
1,7,22
2,7,21
3,7,17
4,9,23
5,8,22
6,8,25
7,8,22
8,8,22
9,8,25
10,8,25
11,7,21
12,8,23
13,8,21
14,9,22
15,9,21
16,8,23
17,8,21
18,8,25
19,7,16
20,9,21
21,9,23
22,8,22
23,9,23
24,8,24
25,8,24
26,4,20
27,5,20
28,1,20
29,5,19
30,5,19
31,9,21
32,8,22
33,14,22
34,10,22
35,7,21
36,9,25
37,7,21
38,6,20
39,6,20
40,1,21
41,7,21
42,7,22
43,8,22
44,7,23
45,7,23
46,8,22
47,9,21
48,7,21
49,7,21
50,8,24
51,8,17
52,6,22
53,6,16
54,7,19
55,7,22
56,8,16
57,7,22
58,7,21
59,8,24
