Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,6,47
1,1,3
2,5,47
3,3,47
4,8,18
5,9,47
6,4,47
7,6,40
8,5,47
9,3,47
10,4,47
11,1,47
12,5,47
13,7,47
14,5,39
15,5,47
16,6,27
17,6,35
18,4,20
19,6,38
20,4,20
21,3,39
22,4,20
23,6,33
24,4,20
25,4,35
26,5,19
27,4,18
28,3,4
29,6,20
30,3,19
31,4,38
32,5,19
33,3,4
34,5,34
35,5,39
36,5,33
37,4,19
38,4,27
39,5,34
40,5,37
41,5,38
42,5,25
43,6,50
44,5,41
45,5,37
46,4,5
47,3,4
48,5,21
49,4,47
50,5,31
51,5,25
52,5,33
53,6,41
54,5,45
55,5,20
56,5,35
57,5,31
58,5,27
59,6,39
