Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,5,31
1,1,31
2,6,23
3,6,25
4,23,29
5,23,34
6,9,26
7,6,19
8,22,23
9,17,28
10,35,40
11,4,25
12,16,22
13,14,25
14,1,12
15,20,25
16,9,10
17,17,30
18,15,18
19,10,24
20,19,24
21,20,24
22,37,49
23,31,38
24,8,50
25,12,51
26,5,51
27,23,24
28,21,48
29,13,46
30,26,33
31,28,36
32,46,53
33,39,48
34,24,34
35,10,11
36,24,50
37,15,28
38,24,53
39,11,24
40,29,36
41,47,51
42,13,30
43,11,48
44,20,23
45,11,40
46,9,28
47,48,54
48,26,42
49,6,45
50,36,46
51,10,48
52,25,33
53,42,52
54,33,48
55,21,26
56,47,55
57,10,50
58,27,32
59,23,46
