Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,5,31
1,4,30
2,4,29
3,9,31
4,5,27
5,7,19
6,4,28
7,4,28
8,4,11
9,4,29
10,5,29
11,4,29
12,4,30
13,4,28
14,5,31
15,4,29
16,4,29
17,5,31
18,12,18
19,10,21
20,6,24
21,7,31
22,6,28
23,5,29
24,5,27
25,7,30
26,10,18
27,6,17
28,1,21
29,10,21
30,4,16
31,5,29
32,6,29
33,12,19
34,11,18
35,5,27
36,7,19
37,4,28
38,4,28
39,5,30
40,1,14
41,5,29
42,11,16
43,4,27
44,4,30
45,6,30
46,7,31
47,7,25
48,8,27
49,4,29
50,7,31
51,8,11
52,4,30
53,5,30
54,4,30
55,6,31
56,5,29
57,4,26
58,6,31
59,6,31
