Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,24
1,1,3
2,2,32
3,2,27
4,3,27
5,2,25
6,4,11
7,3,30
8,7,29
9,4,12
10,3,4
11,1,5
12,2,4
13,2,4
14,3,31
15,5,25
16,3,4
17,2,4
18,2,5
19,2,7
20,4,23
21,2,4
22,2,28
23,4,24
24,2,5
25,3,4
26,5,22
27,2,4
28,5,24
29,6,20
30,2,23
31,2,4
32,2,5
33,2,5
34,2,5
35,5,27
36,5,10
37,3,4
38,5,11
39,2,4
40,2,4
41,4,11
42,3,4
43,2,4
44,5,18
45,2,5
46,3,4
47,2,5
48,2,4
49,2,5
50,2,4
51,5,6
52,4,10
53,2,5
54,2,6
55,2,4
56,5,10
57,2,5
58,4,24
59,4,11
