Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,3,22
1,1,24
2,8,28
3,12,29
4,13,31
5,3,10
6,12,28
7,11,29
8,16,27
9,25,32
10,4,28
11,1,26
12,10,27
13,11,29
14,11,30
15,14,32
16,11,27
17,5,22
18,2,28
19,12,28
20,4,26
21,3,32
22,17,29
23,21,30
24,4,13
25,4,22
26,28,35
27,15,32
28,30,39
29,22,42
30,14,30
31,12,30
32,19,27
33,4,27
34,13,26
35,9,30
36,8,29
37,4,24
38,13,36
39,15,27
40,18,35
41,4,21
42,4,23
43,15,27
44,19,37
45,11,27
46,17,31
47,15,20
48,17,31
49,12,28
50,12,21
51,16,31
52,7,29
53,4,23
54,5,15
55,3,17
56,9,28
57,15,28
58,4,23
59,24,32
