Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,3,23
1,1,37
2,8,29
3,6,28
4,16,33
5,33,39
6,25,43
7,16,27
8,10,44
9,10,39
10,48,56
11,8,38
12,12,47
13,14,20
14,1,30
15,29,32
16,31,40
17,19,26
18,25,32
19,31,54
20,34,41
21,29,37
22,50,54
23,41,56
24,37,50
25,41,57
26,23,51
27,16,39
28,31,39
29,11,32
30,6,25
31,10,32
32,14,28
33,34,52
34,20,42
35,16,38
36,21,33
37,47,53
38,17,48
39,11,29
40,22,36
41,32,40
42,21,40
43,13,37
44,17,36
45,4,29
46,24,32
47,50,53
48,33,43
49,12,32
50,46,56
51,12,24
52,18,26
53,48,56
54,44,53
55,3,48
56,12,49
57,13,37
58,4,36
59,2,14
