Run_index,total_selected_OPS
0,23
1,23
2,23
3,40
4,39
5,23
6,23
7,39
8,19
9,23
10,41
11,40
12,40
13,23
14,25
15,21
16,31
17,20
18,41
19,41
20,21
21,23
22,23
23,41
24,24
25,40
26,39
27,22
28,22
29,24
30,42
31,23
32,23
33,24
34,44
35,38
36,40
37,30
38,40
39,39
40,25
41,40
42,24
43,25
44,24
45,39
46,40
47,43
48,37
49,22
50,21
51,39
52,25
53,25
54,38
55,26
56,24
57,32
58,40
59,24
