Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,9
1,1,6
2,5,12
3,4,15
4,8,10
5,7,12
6,7,8
7,7,13
8,8,9
9,7,8
10,3,11
11,1,6
12,5,9
13,4,9
14,4,13
15,4,9
16,7,12
17,8,11
18,5,17
19,4,12
20,7,12
21,4,9
22,4,11
23,6,8
24,7,17
25,8,9
26,5,9
27,8,14
28,8,12
29,7,14
30,6,10
31,9,11
32,5,11
33,5,13
34,8,11
35,7,13
36,9,11
37,9,10
38,7,10
39,4,13
40,4,12
41,6,8
42,4,14
43,6,8
44,6,9
45,4,12
46,6,10
47,4,6
48,5,9
49,6,10
50,8,10
51,5,13
52,6,8
53,7,9
54,7,10
55,9,11
56,7,10
57,9,11
58,4,12
59,4,10
