Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,14,16
1,1,17
2,4,10
3,9,21
4,21,24
5,13,18
6,8,15
7,4,11
8,24,25
9,4,17
10,12,16
11,12,15
12,15,21
13,9,13
14,1,5
15,4,16
16,12,20
17,12,29
18,4,18
19,18,19
20,4,22
21,10,13
22,12,17
23,4,11
24,10,14
25,4,13
26,9,10
27,4,15
28,26,29
29,4,14
30,5,7
31,4,11
32,4,18
33,17,20
34,4,15
35,9,11
36,5,9
37,4,6
38,17,22
39,8,9
40,4,19
41,27,32
42,4,9
43,4,11
44,4,7
45,19,20
46,4,23
47,12,30
48,4,14
49,15,17
50,4,19
51,4,17
52,19,31
53,4,20
54,9,18
55,4,10
56,4,17
57,4,14
58,4,19
59,4,14
