Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,3,4
1,1,4
2,5,22
3,7,19
4,2,22
5,5,14
6,5,23
7,2,19
8,2,23
9,5,20
10,3,19
11,1,5
12,6,22
13,2,19
14,5,24
15,2,8
16,4,21
17,7,24
18,2,24
19,2,21
20,6,19
21,2,6
22,2,7
23,2,8
24,7,23
25,7,24
26,2,6
27,2,21
28,2,6
29,2,5
30,2,23
31,5,21
32,2,19
33,2,9
34,6,24
35,6,21
36,6,21
37,2,7
38,2,23
39,2,9
40,4,20
41,4,5
42,6,17
43,2,8
44,2,20
45,6,21
46,2,25
47,2,5
48,8,21
49,7,20
50,6,25
51,2,24
52,6,21
53,7,8
54,5,24
55,2,8
56,2,24
57,3,9
58,2,8
59,7,23
