Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,6,22
1,7,21
2,7,19
3,21,35
4,8,23
5,7,18
6,7,27
7,6,22
8,8,23
9,7,18
10,6,17
11,14,26
12,9,25
13,8,24
14,9,24
15,8,19
16,7,24
17,7,24
18,8,24
19,9,22
20,11,18
21,8,17
22,8,16
23,13,20
24,8,25
25,8,21
26,7,21
27,7,18
28,1,18
29,7,18
30,8,17
31,8,23
32,15,24
33,8,24
34,7,19
35,5,16
36,9,23
37,7,20
38,5,22
39,8,25
40,1,18
41,7,23
42,8,21
43,7,23
44,12,26
45,6,22
46,7,23
47,6,19
48,6,23
49,7,19
50,11,23
51,10,16
52,11,19
53,6,21
54,10,19
55,6,23
56,6,22
57,6,23
58,6,23
59,7,23
