Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,12,22
1,1,21
2,13,26
3,11,15
4,6,7
5,22,25
6,16,22
7,27,30
8,14,22
9,18,20
10,17,26
11,10,13
12,20,25
13,20,23
14,1,18
15,23,27
16,5,6
17,29,31
18,32,34
19,15,17
20,6,26
21,16,18
22,15,23
23,16,19
24,20,33
25,6,12
26,7,9
27,7,8
28,19,26
29,6,12
30,27,31
31,14,24
32,26,30
33,13,21
34,17,26
35,14,20
36,5,11
37,14,15
38,6,20
39,7,13
40,23,29
41,5,23
42,16,17
43,15,16
44,21,24
45,15,18
46,5,24
47,17,29
48,14,22
49,12,15
50,15,28
51,18,26
52,6,32
53,6,7
54,15,22
55,6,13
56,10,21
57,16,26
58,19,30
59,14,21
