Run_index,total_selected_OPS
0,42
1,40
2,40
3,40
4,40
5,42
6,40
7,42
8,41
9,40
10,41
11,42
12,42
13,40
14,42
15,40
16,40
17,40
18,42
19,42
20,40
21,40
22,40
23,61
24,41
25,42
26,42
27,42
28,40
29,42
30,41
31,42
32,42
33,41
34,41
35,43
36,42
37,43
38,43
39,42
40,43
41,42
42,44
43,41
44,41
45,40
46,41
47,42
48,43
49,42
50,40
51,40
52,42
53,42
54,41
55,40
56,41
57,40
58,41
59,42
