Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,11,15
1,12,22
2,12,20
3,13,19
4,13,23
5,2,20
6,9,22
7,13,21
8,14,21
9,11,22
10,14,22
11,11,20
12,12,16
13,13,19
14,13,15
15,13,20
16,12,19
17,12,21
18,14,21
19,14,15
20,12,22
21,14,21
22,13,20
23,13,23
24,14,18
25,12,22
26,14,22
27,9,23
28,1,17
29,12,22
30,12,21
31,13,18
32,13,18
33,14,24
34,14,24
35,14,22
36,15,22
37,12,16
38,14,21
39,12,17
40,1,20
41,14,16
42,2,15
43,14,20
44,10,13
45,14,23
46,12,22
47,13,26
48,15,19
49,13,18
50,13,21
51,11,21
52,14,23
53,13,20
54,13,21
55,12,21
56,13,18
57,13,20
58,13,15
59,12,18
