Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,46,52
1,1,47
2,46,54
3,45,52
4,45,52
5,46,52
6,49,55
7,45,52
8,45,52
9,45,52
10,46,52
11,1,52
12,45,52
13,45,52
14,48,54
15,45,52
16,45,52
17,45,52
18,2,52
19,45,52
20,45,52
21,46,52
22,45,52
23,45,52
24,46,54
25,45,52
26,45,52
27,45,52
28,45,52
29,45,52
30,47,53
31,46,52
32,45,52
33,45,52
34,45,52
35,47,53
36,45,52
37,45,52
38,46,53
39,47,52
40,46,52
41,46,53
42,46,52
43,46,54
44,45,52
45,45,52
46,46,54
47,45,52
48,47,53
49,45,52
50,45,52
51,45,52
52,45,52
53,47,52
54,45,52
55,45,52
56,45,52
57,46,54
58,45,52
59,45,52
