Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,13,23
1,13,21
2,14,22
3,13,21
4,13,20
5,13,17
6,11,23
7,14,21
8,13,25
9,13,21
10,14,22
11,10,17
12,16,21
13,13,22
14,14,22
15,11,27
16,13,21
17,12,23
18,12,21
19,12,26
20,14,22
21,11,23
22,14,22
23,15,22
24,17,25
25,13,20
26,10,22
27,7,18
28,1,22
29,11,24
30,8,23
31,12,23
32,12,26
33,14,24
34,12,23
35,12,24
36,12,22
37,11,23
38,9,23
39,15,22
40,1,13
41,12,18
42,12,23
43,14,24
44,17,27
45,13,21
46,14,21
47,12,27
48,14,28
49,15,22
50,12,25
51,11,27
52,15,27
53,10,24
54,13,22
55,13,19
56,11,26
57,10,25
58,14,25
59,21,29
