Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,23
1,1,3
2,2,20
3,2,21
4,3,25
5,2,21
6,4,21
7,3,21
8,4,22
9,4,21
10,3,23
11,1,22
12,2,20
13,2,21
14,3,23
15,4,20
16,3,23
17,2,20
18,2,20
19,2,24
20,4,24
21,2,24
22,2,24
23,4,22
24,2,23
25,3,24
26,4,22
27,2,24
28,4,24
29,4,21
30,2,25
31,2,20
32,2,24
33,2,24
34,2,23
35,4,24
36,4,24
37,3,19
38,4,22
39,2,24
40,2,24
41,4,21
42,3,23
43,2,22
44,4,23
45,2,23
46,3,22
47,2,27
48,2,24
49,2,23
50,2,23
51,4,22
52,4,22
53,2,25
54,2,21
55,2,25
56,4,23
57,2,25
58,5,24
59,4,24
