Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,14,20
1,15,19
2,14,19
3,14,18
4,14,18
5,2,18
6,15,21
7,15,22
8,15,22
9,15,21
10,16,20
11,14,20
12,13,18
13,14,19
14,17,21
15,15,20
16,14,19
17,14,21
18,14,21
19,15,23
20,14,20
21,14,20
22,13,21
23,15,20
24,15,20
25,14,20
26,15,21
27,15,20
28,1,20
29,15,22
30,15,21
31,14,18
32,14,18
33,16,23
34,14,22
35,18,22
36,15,22
37,20,23
38,20,23
39,16,20
40,1,17
41,18,22
42,2,19
43,14,19
44,16,22
45,14,21
46,14,20
47,14,23
48,16,22
49,14,19
50,14,20
51,15,22
52,15,21
53,18,21
54,15,21
55,15,21
56,15,21
57,14,19
58,15,21
59,15,21
