Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,40,43
1,1,38
2,51,52
3,41,46
4,17,44
5,51,52
6,51,52
7,41,46
8,39,43
9,41,46
10,51,52
11,41,46
12,41,46
13,38,44
14,1,43
15,38,44
16,41,46
17,41,46
18,41,46
19,51,52
20,41,46
21,41,46
22,41,46
23,40,43
24,53,54
25,41,46
26,41,46
27,52,53
28,41,46
29,41,46
30,16,47
31,41,43
32,41,46
33,51,52
34,43,45
35,41,44
36,41,46
37,51,52
38,51,52
39,39,45
40,50,51
41,23,48
42,52,53
43,40,44
44,41,44
45,41,46
46,53,54
47,39,45
48,18,47
49,20,47
50,51,52
51,51,52
52,40,44
53,50,51
54,41,44
55,51,52
56,41,44
57,51,52
58,28,50
59,2,41
