Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,48
1,1,3
2,2,46
3,2,45
4,3,52
5,2,44
6,28,44
7,3,50
8,5,45
9,5,47
10,3,46
11,1,47
12,2,49
13,2,41
14,3,44
15,4,24
16,3,48
17,2,46
18,2,45
19,2,43
20,29,46
21,2,47
22,2,47
23,27,47
24,2,47
25,3,46
26,27,48
27,2,48
28,34,51
29,28,45
30,2,44
31,2,41
32,2,6
33,2,40
34,2,43
35,29,50
36,29,52
37,3,48
38,25,43
39,2,46
40,2,49
41,26,47
42,3,47
43,2,48
44,29,49
45,2,48
46,3,46
47,2,44
48,2,49
49,2,49
50,2,45
51,25,45
52,30,47
53,2,49
54,2,49
55,2,44
56,28,47
57,2,49
58,32,48
59,32,47
