Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,8,9
1,1,55
2,10,22
3,6,10
4,19,50
5,10,11
6,14,50
7,22,24
8,8,9
9,23,48
10,16,55
11,8,9
12,18,55
13,4,52
14,1,19
15,10,57
16,6,7
17,11,14
18,8,55
19,23,52
20,15,23
21,17,42
22,18,43
23,36,37
24,8,52
25,5,24
26,8,51
27,10,40
28,14,56
29,14,17
30,35,50
31,12,31
32,21,23
33,5,21
34,22,24
35,17,24
36,8,34
37,18,42
38,19,56
39,12,21
40,17,30
41,16,34
42,12,58
43,8,56
44,11,14
45,17,49
46,7,51
47,15,20
48,11,25
49,8,21
50,7,49
51,7,52
52,10,24
53,15,53
54,27,56
55,9,20
56,4,51
57,7,51
58,14,56
59,14,33
