Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,13,23
1,1,23
2,5,25
3,6,8
4,5,24
5,28,32
6,4,25
7,4,23
8,8,35
9,11,34
10,4,35
11,11,25
12,17,22
13,4,24
14,1,6
15,5,21
16,16,38
17,6,25
18,11,21
19,17,21
20,19,22
21,5,31
22,5,25
23,8,23
24,29,32
25,28,34
26,4,9
27,4,6
28,5,22
29,4,9
30,5,12
31,5,13
32,18,21
33,4,29
34,5,35
35,8,39
36,4,25
37,4,8
38,4,29
39,29,35
40,5,25
41,5,27
42,4,8
43,7,24
44,23,29
45,5,27
46,22,37
47,4,25
48,4,24
49,19,27
50,5,27
51,4,11
52,28,33
53,4,20
54,16,21
55,17,30
56,22,23
57,5,14
58,22,23
59,37,42
