Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,11,16
1,8,12
2,7,16
3,8,14
4,7,14
5,7,16
6,6,17
7,7,18
8,7,18
9,6,17
10,6,19
11,7,18
12,6,16
13,6,16
14,7,14
15,7,16
16,12,24
17,13,17
18,6,13
19,4,18
20,7,25
21,9,17
22,12,19
23,7,18
24,8,23
25,7,19
26,6,17
27,4,17
28,1,18
29,8,21
30,9,18
31,6,12
32,7,16
33,21,22
34,13,22
35,5,10
36,16,23
37,6,12
38,6,16
39,6,12
40,1,15
41,5,15
42,7,16
43,4,13
44,6,12
45,4,14
46,7,12
47,11,15
48,6,12
49,7,14
50,7,18
51,7,18
52,4,10
53,8,12
54,6,14
55,6,16
56,4,12
57,6,14
58,4,14
59,7,16
