Yield
20
0
0
51
0
0
55
48
68
48
37
35
20
0
13
0
7
14
39
41
53
41
32
42
35
8
63
37
30
71
53
0
0
38
54
83
39
63
77
62
50
54
58
26
32
29
0
51
74
6
0
34
28
71
60
0
24
2
1
2
