Yield
74
47
37
55
0
22
74
17
29
71
78
74
75
58
6
13
2
1
6
34
39
11
24
12
26
2
47
51
43
47
58
24
56
0
3
62
1
76
49
1
1
1
0
0
0
0
2
15
10
79
0
1
0
7
0
0
0
0
1
1
