Yield
86
70
27
80
12
74
84
90
94
91
79
82
77
76
90
37
32
83
87
86
92
88
90
62
89
85
88
91
91
87
75
82
92
94
68
90
50
94
95
68
43
52
44
54
21
14
4
5
1
87
21
88
31
94
76
31
26
2
37
0
