Yield
45
12
8
22
0
5
90
91
98
90
81
80
40
9
91
6
91
36
34
88
89
82
72
66
88
55
82
84
86
79
77
22
60
73
91
94
85
91
88
88
87
91
20
5
32
26
28
65
73
44
7
85
44
68
58
0
20
4
0
0
