Name,ID,SMILES,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Yield_PR1,Yield_PR2,Yield_PR3,Yield_PR4,Yield_PR5,Yield_PR6,Yield_PR7,Yield_PR8,Yield_PR9,Yield_PR10,Yield_PR11,Yield_PR12,Yield_PR13,Yield_PR14,Yield_PR15
1tBuDPAN,OPS34,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7057,0,6,9,8,0,1,0,37,38,27,73,94,1,0,9
PNZN,OPS35,C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17142,-0.04905,3.5257,0.0,3.3342,0.1915,0.2832,5,11,9,1,10,2,3,48,54,38,91,68,2,0,11
biphenylPNZN,OPS36,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.2556,3,38,18,3,7,43,62,89,83,42,94,90,24,0,47
PTZN,OPS37,C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.2077,3,10,18,11,2,1,1,97,39,57,85,50,1,0,10
biphenylPTZN,OPS38,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,10,42,14,13,90,50,76,85,63,52,91,94,56,0,35
CF3PTZN,OPS39,FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,1.5781,11,15,21,11,95,19,49,90,77,57,88,95,46,5,30
2DPAN,OPS40,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,-0.17654,-0.04474,3.4914,0.4022,2.8244,0.667,1.4109,0,18,24,6,4,2,1,87,62,56,88,68,73,0,22
2tBuDPAN,OPS41,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,-0.17028,-0.04135,3.4103,0.4193,2.784,0.6263,1.6044,2,25,22,5,53,9,1,80,50,59,87,43,81,0,37
2MeDPAN,OPS42,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,-0.16909,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6494,0,15,12,6,0,7,1,70,54,48,91,52,75,0,40
2DPAA,OPS43,C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,-0.17836,-0.06945,2.9725,0.2857,2.1241,0.8484,0.0,4,57,43,36,2,2,0,20,58,0,20,44,27,0,23
2tBuDPAA,OPS44,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0088,0,33,28,18,2,1,0,3,26,4,5,54,7,0,15
