Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,21
1,1,3
2,2,24
3,2,13
4,3,23
5,2,20
6,4,14
7,3,21
8,4,22
9,4,9
10,3,4
11,1,5
12,2,8
13,2,22
14,3,22
15,4,14
16,3,20
17,2,21
18,2,6
19,2,5
20,5,22
21,2,6
22,2,10
23,4,19
24,2,6
25,3,12
26,4,7
27,2,22
28,4,7
29,4,13
30,2,17
31,2,20
32,2,6
33,2,23
34,2,22
35,6,8
36,4,10
37,3,6
38,5,21
39,2,4
40,2,4
41,4,11
42,3,17
43,2,8
44,4,10
45,2,23
46,3,4
47,2,22
48,2,5
49,2,21
50,2,5
51,4,9
52,4,11
53,2,8
54,2,21
55,2,24
56,4,11
57,2,24
58,4,8
59,4,11
