Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,18,20
1,1,21
2,4,23
3,15,18
4,27,30
5,36,39
6,20,23
7,20,25
8,8,18
9,19,22
10,24,27
11,7,8
12,11,14
13,4,10
14,1,17
15,10,11
16,24,31
17,15,24
18,23,24
19,14,22
20,10,11
21,5,21
22,5,20
23,21,24
24,17,20
25,27,31
26,19,26
27,4,11
28,18,20
29,6,14
30,4,5
31,19,22
32,15,19
33,8,9
34,4,21
35,16,31
36,4,14
37,20,21
38,18,21
39,4,5
40,23,26
41,17,20
42,4,8
43,4,10
44,12,16
45,20,24
46,8,37
47,4,24
48,5,21
49,15,19
50,26,30
51,12,23
52,26,30
53,4,9
54,20,23
55,4,11
56,15,23
57,5,14
58,27,30
59,4,12
