Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,20
1,1,15
2,9,23
3,12,20
4,12,24
5,2,20
6,2,15
7,10,26
8,4,15
9,3,15
10,3,15
11,1,13
12,13,19
13,12,26
14,6,27
15,18,19
16,7,23
17,17,29
18,18,21
19,5,24
20,4,14
21,3,11
22,3,15
23,11,21
24,3,20
25,13,23
26,7,22
27,9,21
28,5,8
29,8,14
30,18,21
31,4,5
32,13,25
33,20,27
34,21,29
35,2,23
36,20,26
37,14,21
38,12,16
39,14,22
40,3,19
41,3,11
42,8,24
43,21,22
44,6,19
45,16,29
46,8,15
47,3,11
48,10,12
49,19,24
50,6,9
51,8,11
52,19,24
53,21,23
54,8,21
55,7,8
56,20,22
57,19,27
58,20,22
59,12,23
