Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,9,24
1,7,17
2,7,17
3,11,25
4,9,22
5,7,33
6,9,18
7,7,25
8,10,34
9,7,17
10,10,22
11,8,23
12,14,20
13,11,24
14,16,21
15,12,20
16,15,25
17,8,22
18,9,19
19,18,21
20,8,35
21,9,24
22,7,22
23,11,34
24,11,22
25,10,26
26,12,22
27,5,22
28,1,22
29,3,22
30,5,22
31,8,22
32,9,18
33,10,21
34,11,30
35,4,34
36,16,24
37,6,27
38,5,21
39,6,12
40,1,19
41,7,24
42,15,24
43,7,28
44,7,18
45,15,23
46,10,24
47,6,23
48,10,24
49,9,21
50,13,24
51,13,21
52,10,25
53,8,19
54,8,22
55,7,26
56,12,24
57,15,25
58,5,20
59,4,20
