Yield
99
45
23
98
0
36
98
98
99
97
99
99
63
54
4
9
13
0
95
94
97
98
97
32
97
11
9
81
54
5
96
4
10
0
10
7
2
90
95
4
53
0
2
2
2
0
0
2
0
17
0
0
0
59
94
0
0
3
0
0
