Yield
95
98
97
10
33
71
95
28
39
80
98
97
50
63
49
10
98
7
92
99
82
99
97
4
85
16
99
99
97
99
99
55
99
1
2
43
1
50
19
2
9
7
2
1
2
2
16
9
8
99
0
4
1
3
56
0
2
1
1
0
