Yield
57
68
39
52
4
34
93
85
85
92
88
90
36
20
91
2
90
13
37
45
33
43
50
36
36
33
87
29
30
91
45
46
67
37
48
89
97
85
90
87
80
70
20
3
11
40
10
61
68
59
8
29
51
77
32
4
27
9
6
9
