Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,9,18
1,6,13
2,4,11
3,8,29
4,6,17
5,2,6
6,4,9
7,26,31
8,14,23
9,6,20
10,3,11
11,6,14
12,12,28
13,9,17
14,20,31
15,3,9
16,7,16
17,17,22
18,25,32
19,4,12
20,13,24
21,12,26
22,4,17
23,6,13
24,5,17
25,14,22
26,6,15
27,7,11
28,1,22
29,3,12
30,9,25
31,11,26
32,19,34
33,7,14
34,4,13
35,16,24
36,3,14
37,12,20
38,4,10
39,3,8
40,1,14
41,3,13
42,2,15
43,7,15
44,6,23
45,8,12
46,7,23
47,5,14
48,12,26
49,6,10
50,12,25
51,7,14
52,5,10
53,8,21
54,16,22
55,12,22
56,11,14
57,13,29
58,11,21
59,5,19
