Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,3,37
1,1,31
2,13,50
3,6,27
4,17,47
5,21,39
6,24,37
7,25,50
8,30,35
9,10,28
10,33,57
11,8,48
12,12,35
13,18,25
14,1,22
15,16,32
16,26,45
17,19,26
18,25,32
19,41,55
20,19,27
21,29,45
22,50,55
23,15,29
24,30,44
25,13,45
26,23,50
27,18,48
28,31,42
29,10,41
30,6,41
31,20,55
32,23,52
33,38,42
34,20,27
35,21,38
36,15,38
37,34,47
38,16,52
39,13,43
40,22,39
41,29,42
42,20,47
43,13,42
44,17,38
45,4,38
46,14,39
47,28,35
48,50,53
49,13,33
50,22,51
51,12,34
52,17,39
53,18,22
54,35,43
55,3,57
56,25,49
57,13,37
58,4,50
59,2,17
