Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,3,27
1,1,23
2,14,30
3,12,33
4,17,30
5,3,10
6,14,39
7,19,32
8,18,33
9,27,33
10,6,32
11,1,33
12,10,27
13,11,28
14,14,33
15,19,31
16,12,31
17,5,22
18,2,28
19,16,34
20,4,20
21,3,37
22,13,32
23,7,31
24,4,13
25,4,20
26,28,31
27,19,29
28,32,46
29,16,31
30,16,31
31,14,34
32,16,21
33,4,25
34,8,31
35,10,31
36,16,36
37,4,24
38,16,36
39,18,30
40,18,33
41,4,29
42,4,13
43,15,28
44,19,37
45,15,31
46,17,35
47,25,36
48,17,37
49,13,35
50,12,30
51,16,31
52,7,30
53,4,24
54,5,15
55,3,27
56,9,28
57,15,28
58,4,25
59,16,31
