Run_index,total_selected_OPS
0,50
1,50
2,50
3,50
4,50
5,51
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,51
20,50
21,50
22,50
23,61
24,50
25,50
26,50
27,50
28,50
29,50
30,51
31,50
32,50
33,50
34,50
35,51
36,50
37,50
38,54
39,53
40,51
41,53
42,51
43,50
44,50
45,50
46,50
47,55
48,51
49,50
50,50
51,50
52,51
53,53
54,50
55,50
56,50
57,50
58,50
59,50
