Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,6
1,1,3
2,2,18
3,2,20
4,3,8
5,2,19
6,4,6
7,3,7
8,4,7
9,4,6
10,3,6
11,1,6
12,2,7
13,2,18
14,3,20
15,6,20
16,3,22
17,2,7
18,2,7
19,2,6
20,5,7
21,2,8
22,2,7
23,5,7
24,2,7
25,3,7
26,5,7
27,2,6
28,5,7
29,5,7
30,2,16
31,2,7
32,2,20
33,2,7
34,2,7
35,5,7
36,5,7
37,3,6
38,5,7
39,2,7
40,2,7
41,5,7
42,3,7
43,2,7
44,5,6
45,2,8
46,3,8
47,2,8
48,2,20
49,2,6
50,2,24
51,4,5
52,6,9
53,2,7
54,2,7
55,2,8
56,5,6
57,2,8
58,5,7
59,5,6
