Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,9,18
1,10,22
2,9,18
3,16,24
4,9,18
5,12,17
6,5,16
7,13,23
8,14,19
9,9,13
10,14,17
11,10,16
12,4,17
13,14,18
14,13,21
15,11,19
16,12,21
17,10,18
18,8,19
19,12,17
20,5,18
21,11,18
22,5,12
23,7,22
24,13,21
25,12,22
26,13,18
27,4,18
28,1,19
29,11,18
30,12,17
31,9,18
32,9,18
33,12,15
34,10,17
35,13,17
36,16,22
37,13,22
38,13,17
39,9,17
40,1,16
41,5,14
42,13,23
43,19,26
44,13,17
45,10,20
46,11,17
47,11,21
48,13,18
49,8,18
50,14,19
51,14,22
52,14,23
53,12,17
54,15,21
55,10,18
56,9,15
57,13,18
58,13,18
59,13,17
