Run_index,total_selected_OPS
0,23
1,23
2,22
3,23
4,23
5,23
6,30
7,23
8,30
9,31
10,23
11,23
12,27
13,23
14,31
15,30
16,21
17,18
18,31
19,22
20,22
21,23
22,26
23,28
24,28
25,22
26,30
27,22
28,23
29,32
30,23
31,26
32,22
33,26
34,26
35,22
36,24
37,22
38,24
39,26
40,21
41,29
42,35
43,31
44,31
45,29
46,26
47,27
48,27
49,23
50,23
51,23
52,25
53,28
54,20
55,23
56,25
57,25
58,24
59,24
