Name,ID,smiles,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,yield
4ClDPAIPN,OPS11,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C(C#N)=C(N(C3=CC=C(Cl)C=C3)C4=CC=C(Cl)C=C4)C(N(C5=CC=C(Cl)C=C5)C6=CC=C(Cl)C=C6)=C7N(C8=CC=C(Cl)C=C8)C9=CC=C(Cl)C=C9)=C7C#N,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,10
4BrDPAIPN,OPS12,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C(C#N)=C(N(C3=CC=C(Br)C=C3)C4=CC=C(Br)C=C4)C(N(C5=CC=C(Br)C=C5)C6=CC=C(Br)C=C6)=C7N(C8=CC=C(Br)C=C8)C9=CC=C(Br)C=C9)=C7C#N,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,28
3CzClIPN,OPS13,ClC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,50
4CzPN,OPS14,N#CC1=C(C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)C#N,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,52
4DPAPN,OPS15,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)=C5C#N,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,6.8817,76
4CzTPN,OPS16,N#CC(C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)=C4N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C4C#N,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0023,28
4DPATPN,OPS17,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(C#N)=C3N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)=C3N(C8=CC=CC=C8)C9=CC=CC=C9,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.2336,22
1CzTRZ,OPS18,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,70
1tBuCzTRZ,OPS19,CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5316,8
1DPATRZ,OPS20,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,10.4896,14
1tBuDPATRZ,OPS21,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,48
1ClDPATRZ,OPS22,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.9926,31
1BrDPATRZ,OPS23,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9662,36
1OMeDPATRZ,OPS24,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8434,18
1PhDPATRZ,OPS25,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,44
1PTZTRZ,OPS26,N(C1=C2C=CC=C1)(C3=CC=CC=C3S2)C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,7.9638,8
2DPABP,OPS27,O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,24
2tBuDPABP,OPS28,O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.2877,16
2MeDPABP,OPS29,O=C(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,2.5537,25
2ClDPABP,OPS30,ClC(C=C1)=CC=C1N(C2=CC=C(C=C2)Cl)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)C=C4)=O,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.02,16
2PhDPABP,OPS31,O=C(C1=CC=C(N(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)C=C1)C6=CC=C(N(C7=CC=C(C8=CC=CC=C8)C=C7)C9=CC=C(C%10=CC=CC=C%10)C=C9)C=C6,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,2.2316,14
2CzPN,OPS32,N#CC(C=C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C7)=C7C#N,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,8.6565,7
2tBuCzPN,OPS33,N#CC(C=C(N1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C#N,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,10.0687,18
1tBuDPAN,OPS34,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7057,9
PNZN,OPS35,C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17142,-0.04905,3.5257,0,3.3342,0.1915,0.2832,11
biphenylPNZN,OPS36,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.2556,47
PTZN,OPS37,C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.2077,10
biphenylPTZN,OPS38,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,35
CF3PTZN,OPS39,FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,1.5781,30
2DPAN,OPS40,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,-0.17654,-0.04474,3.4914,0.4022,2.8244,0.667,1.4109,22
2tBuDPAN,OPS41,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,-0.17028,-0.04135,3.4103,0.4193,2.784,0.6263,1.6044,37
2MeDPAN,OPS42,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,-0.16909,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6494,40
2DPAA,OPS43,C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,-0.17836,-0.06945,2.9725,0.2857,2.1241,0.8484,0,23
2tBuDPAA,OPS44,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0088,15
2MeDPAA,OPS45,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0023,37
2OMeDPAA,OPS46,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,-0.16348,-0.0643,2.7205,0.254,2.0389,0.6816,0,17
3DPANB,OPS47,O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],-0.18594,-0.06772,3.1973,0.0899,2.9176,0.2797,4.0204,5
CF3PhDPZ,OPS48,FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,-0.1619,-0.04155,3.3175,0,2.9345,0.383,0,12
NapDPZ,OPS49,C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,-0.15201,-0.04408,3.3012,0,2.9882,0.313,0.0824,18
5CzBN,OPS50,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,-0.20063,-0.07542,3.5356,0.2762,3.2477,0.2879,4.9407,24
2DPABz,OPS51,O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.19069,-0.06958,3.0227,0.0037,2.5871,0.4356,0.3529,8
DPABT,OPS52,C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,-0.18556,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0432,28
PhPTZ,OPS53,C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,-0.16887,-0.02148,3.713,0.0109,3.1473,0.5657,0.2434,2
ph_bPTZ,OPS54,C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,-0.17426,-0.03323,3.7625,0.223,3.1359,0.6266,4.6819,18
perylene,OPS55,C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,-0.18188,-0.06947,3.196,0.791,2.0783,1.1177,0,43
9_10_DCA,OPS56,N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,-0.22657,-0.1128,3.2747,0.3366,2.003,1.2717,0,2
Me_TAPB,OPS57,CN(C)C1=CC=C(C2=CC(C3=CC=C(N(C)C)C=C3)=CC(C4=CC=C(N(C)C)C=C4)=C2)C=C1,-0.17326,-0.00888,4.3833,0.0682,3.4449,0.9384,0.1341,1
Et_bodipy,OPS58,CC1=C2[N+]([B-](F)(F)N3C1=C(C)C(CC)=C3C)=C(C)C(CC)=C2C,-0.19047,-0.08145,2.9757,0.965,1.6996,1.2761,1.4103,4
TPP+,OPS59,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,-0.35572,-0.22919,3.3873,0.7073,2.6833,0.704,4.496,35
Acr+_Mes,OPS60,C[N+]1=C(C=CC=C2)C2=C(C3=C(C)C=C(C)C=C3C)C4=CC=CC=C41,-0.33825,-0.23168,3.0716,0.0001,2.3388,0.7328,1.1618,0
