Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,MF_PC_14,MF_PC_15,MF_PC_16,MF_PC_17,MF_PC_18,MF_PC_19,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,Reaction_SCF3,Reaction_OCH2F,Reaction_P,Reaction_Si,Reaction_cross,Yield
4CzIPN,OPS1,-0.08070086638632637,2.3311112505879668,-1.5260426789894945,-1.3724372790251749,0.739463551481735,-0.8853317435979112,-0.12747856376607763,0.24564079960855983,-0.702154635860146,0.2605688331730995,-0.5313108196159526,-0.5181869696497607,-0.23112303327985317,-0.16250496551712118,-0.01180938211500485,0.40457321882942354,0.1811186693349737,-0.5154594165192268,-0.15996587186786423,0.04648472301900404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81
4tBuCzIPN,OPS2,-0.3116307065760434,2.2152874915440592,-2.163254003221891,-1.31307370214656,0.2442180514608934,-0.13735237186217156,0.5040164221677109,1.3453735563652076,2.155639566855426,-0.5212710295773709,-0.2543222509584516,-0.1450132819340483,-0.22960815690320588,0.7530962109607686,-0.2613335823640869,0.12302644411983234,0.41287954263461324,-0.4419556862945709,0.06802954230578653,-0.05124931679822496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95
4MeCzIPN,OPS3,0.010413340083263735,1.9690943678146269,-2.3597521551847094,-1.298731143580811,0.4294723661103298,0.8516634980576752,0.6654348067222292,0.6546895294153072,0.6692957430964407,0.897705331039216,-0.4571411908249764,-0.04163002241940874,-0.7549202378896565,0.7712926191528566,-0.22416113663455095,0.6446616580060127,-0.01769988023079973,-0.6365454299774802,-0.1385763647012054,-0.003690544104489443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
4BrCzIPN,OPS4,-0.16030510316661972,2.0467710459267012,-2.0129601212836676,-1.6203856587471812,0.745439345878094,-0.5315997732027912,0.6891793698163791,0.21483668761373045,1.0920874666597855,0.8297925004934734,-0.3528248987960828,-0.8061824259679268,-0.12052866464172222,0.062074429888121514,-0.46388713026350764,0.5394793836214432,-0.7097517914845517,-0.5810222116359883,0.49632736615596834,0.5745427752215435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
4OMeCzIPN,OPS5,0.17338637145772884,1.916901387859387,-2.3384677995635212,-0.5735650184675287,-0.0932286837900548,-1.090619018613522,2.4170397964440684,0.795816387243365,0.6253868522258537,0.48825016457843995,-0.641418658656313,-0.10273951887247669,-0.6941625913145877,0.24471440483518006,-0.10179713234064353,0.2595244606447693,0.08901930356487188,-0.3831322778827371,-0.10751870257293906,-0.12461449191929473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4PhCzIPN,OPS6,0.23246222539395167,2.083222683948623,-0.8098603578853767,-0.7171609982747978,1.4882313487879237,-0.7845095838336028,0.2326783777934979,-0.0729668443392722,1.0557390303800451,0.8085038485902659,-0.29218918241377456,-0.603188482452287,-1.3335678548048435,0.8065584583310677,-0.4925062781656432,0.3777952064150741,0.09481797756342754,0.10064600494772995,-0.42718764269034404,-0.3530036935055045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
4DPAIPN,OPS7,-1.739115254470873,-0.7771582525020458,-1.3540442156554569,-0.9718803581705995,0.028807821263499126,-1.0680568795073997,-0.518914892923544,-1.3975871981625114,-0.43705602939578003,0.06571668586010099,1.315325834057237,0.37371015760628656,-0.03791178521563022,0.47300845771217914,-0.01328792770346413,-0.2922595919648544,0.11777567432099541,0.26114320133581814,-0.6592767003602764,-0.2095949955192502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4tBuDPAIPN,OPS8,-1.8989443637296088,-0.7981524624137984,-2.2652441728095534,-0.7249431653139035,-0.9339804745779857,-0.199561957279698,-0.30808441788183016,-0.1351187576001573,1.5556645097016664,-1.288383126712452,1.4562928778040607,0.4163744252761045,0.28175117040967995,0.3842167349912008,0.4067705637023021,0.03870971140688211,0.30171250656136644,0.3948607677230731,-0.34816281646544694,0.13655184219238983,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4MeDPAIPN,OPS9,-1.5822785174106988,-1.1948606482073378,-2.3872194806577816,-0.8918119106592143,-0.5847056240747714,1.0178136501578818,-0.005357828135050002,-0.7615975265962839,-0.2856069029696846,0.2637747141528949,1.3031427213469304,0.5230725648474225,-0.25728211426317454,0.4213084832457607,0.42749390742160565,0.586395446928156,-0.253907408976183,0.40933027215288786,-0.4776548235246805,0.21727501629488485,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4FDPAIPN,OPS10,-1.6924636123957368,-1.1981937385439363,-1.9099383157755851,-1.428474855970781,-0.2121906133758496,-0.14001666978840185,0.09483827928763464,-1.29856592878614,0.19834592124879952,-0.4221903389899563,1.3410417243223682,-0.5865800285651215,0.27144848138188354,-0.7801376965572042,0.13064463859643446,-0.3813891440270876,-0.6880307570544176,0.4156438928390508,-0.5701101729314482,-0.4515374350337261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29
4ClDPAIPN,OPS11,-1.8088615658486096,-1.1703379497783564,-2.000872247963116,-1.1555532144900724,-0.10473090305790456,-0.4368702875740461,-0.08141342213626387,-1.0983554857832545,-0.1085654270160088,0.055469541501734936,1.2887616011767795,-0.3173132321273458,0.41602155281865655,0.15522715130580722,1.0795503963233617,0.06282447483430915,0.8883535162351407,1.0516698328508303,0.8233048158611815,0.06521082071156549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79
4BrDPAIPN,OPS12,-1.7865478298368338,-1.082233484434399,-1.9797469012813416,-1.2392602688297008,-0.25870815547212,-0.5898455410055832,0.000994703959263946,-1.1961633279374526,0.25220170470342457,0.17716123634833789,1.4440389686600887,-0.264090114071912,0.44718420604238335,-0.40548084958414915,0.2358509168373719,0.4691873814516125,-0.8638817673712303,0.39820372296459333,0.11580280224166586,0.5408119482618777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95
3CzClIPN,OPS13,-0.08065202601773298,2.157298497839145,-1.4279198776888737,-1.232868336017449,0.7585097331312598,-0.7773429896973137,-0.26931068566877625,0.1403117428856971,-0.9131792474396127,0.21403362148116703,-0.36418343791309854,-0.5762597834107397,0.005617601238523218,-0.2303215956808065,0.35919833084317215,0.13253836564529511,0.7479903797116746,-0.05084626123677034,0.4110301044106862,0.15908855055861684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39
4CzPN,OPS14,-0.27083257592480847,2.2549281321479846,-1.3446799176472513,-1.3581110929275015,0.5035676509178358,-0.8886466758303508,-0.24433337032262356,0.268268442587349,-0.8087876312779938,0.3066554539236189,-0.34363932973238814,-0.45811317666079787,-0.029163876873649592,-0.1843258668955825,-0.04912173258860524,0.3108427670906386,0.09348314460001324,-0.24228948159666183,-0.18914715907632432,0.047086533661010246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
