Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,Reaction_SCF3,Reaction_OCH2F,Reaction_P,Reaction_Si,Reaction_cross,Yield
1PTZTRZ,OPS26,-1.8613499211150943,0.85750073985183,2.7123808802266653,0.5755295986159179,1.5366667111516092,0.39639910404464557,1.2602464284474724,0.11406600678080857,-0.26667231813555275,0.21991828698611698,1.5672188110613396,-0.15964553375882862,1.0634586521339842,0.6636363207876698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2DPABP,OPS27,-3.277787217596191,-0.9200782857655517,-0.2003744337534083,0.7303305649449322,0.37659802288087624,-0.29339985438488614,-0.5257834951996171,-0.1948452657677232,-0.3508877594231277,0.6127449382716778,-1.6277921671554147,-0.5189004621488306,0.6301037862438755,0.4340153898319039,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47
2tBuDPABP,OPS28,-3.3135397630331953,-0.7727258742289573,-1.0090672729994106,0.8388910057311249,-0.5657906326944031,0.5744494042672176,-0.29019135904757165,1.0189538360916104,1.628957348319051,-0.6812845327823203,-1.4895980436186442,-0.38179439580343666,0.9962334796012479,0.3008604949487744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51
2MeDPABP,OPS29,-2.996874110141355,-1.1694274120079398,-1.130996007425286,0.671972171655445,-0.21693587920692475,1.7915715251874835,0.012612046896962116,0.39263376003937867,-0.2131316120680157,0.8703624389315643,-1.6477300230615322,-0.27997544177541445,0.4394739556701994,0.3610996077393669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43
2ClDPABP,OPS30,-3.223457969652542,-1.14492964535549,-0.7447212858414441,0.40838137972637956,0.2635067556836409,0.33658251805786565,-0.06219583353705344,0.054615139021207994,-0.03712525217456516,0.6567715295212854,-1.6549941276084366,-1.1102250522587256,1.1189488049503775,0.050185935589290256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47
2PhDPABP,OPS31,-2.8615733483326844,-1.142595592847737,0.3734839386817416,1.0726592806019883,0.8761802342168092,-0.15641206877802163,-0.46047037979687766,-0.03874736152770244,0.22368946510721302,0.8706470848473836,-1.4601440021234817,-0.7077193210960754,0.14012156807279516,0.1727524212208162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58
2CzPN,OPS32,-0.46484854713896073,2.247456891718365,-0.30605460883827307,-0.6548819623609285,0.2066012134665028,-0.3832980294506509,-0.21981607604926073,0.25831614459214947,-0.5536483406037888,0.04654065644929075,-0.025666230210612997,0.036369877002419955,0.3153929471361629,-0.11034874979252222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24
2tBuCzPN,OPS33,-0.7945106485317586,1.9660878451398598,-0.9886971910986351,-0.6700461307779131,-0.26443704364646886,0.33436540743148185,0.37374669435024044,1.4356423448022282,2.053631172503285,-0.9219979996814419,0.26714203986478297,0.26509990309892467,0.4406949646959418,0.7254471229997318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56
1tBuDPAN,OPS34,-2.537472513097267,0.22842937945229957,0.17179214338335613,0.5414955923699861,-1.8453891155991002,0.09533063425504922,-1.168437169998557,0.8321196705415445,0.9345354725127124,-1.677992517690334,-0.20148746157879302,0.3423280645200245,-0.747211150536421,-0.3072152219435398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PNZN,OPS35,-1.6942376332368134,1.6631166108024167,1.9704456318444763,-0.6128777691103672,-1.0006782833767498,0.3708844857261425,0.3369346000538802,-0.805054668010926,-0.5328788553619835,-0.41430150924613396,-0.4771420050350825,-0.4646856294370866,-0.7140371341421244,-0.3790937884918577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
biphenylPNZN,OPS36,-1.3032134912061457,1.5623429825076154,2.8247254316882238,-0.08617009670917361,-0.21854203696120142,0.3421712266535779,0.35750989406907174,-0.9902662651731643,0.2668383755176063,0.11150012269476661,-0.2542306709769448,-0.506550830583601,-1.6927585209207783,-0.13661727007627633,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62
PTZN,OPS37,-1.816439510570158,1.839584349502616,2.3805508575127647,-0.6518047440454214,-0.8513261642669446,0.5791410577513428,0.9048160714196588,-1.0723596160411395,-0.6341788491746647,-0.598268296976704,0.015111501440815222,-0.34397345505174826,-0.06634267944432914,0.2800598207128817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
biphenylPTZN,OPS38,-1.4126151400445164,1.7311779824797353,3.2017132678416025,-0.13333311775792175,-0.13388538587427995,0.5648739542663026,0.8617382266831601,-1.2568077136096523,0.23776906983070714,-0.1087110079064607,0.12153646711725155,-0.42296583204775623,-1.14962215378355,0.3473618425589577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76
CF3PTZN,OPS39,-1.4937826935102552,1.8736917849033552,3.1295518694060758,-0.5610493347261106,-0.8129380707724179,1.0156792021211498,0.8837759505998117,-0.8165442517698029,1.025433315748842,-1.5179753428776224,0.07271507489253765,-0.5852691455321093,-0.579454071291396,0.04258269391073764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49
2DPAN,OPS40,-2.638378395460508,0.10324698040531424,0.040747692410836436,0.26308387616636036,-0.3653991045992522,-0.4467795331907702,-1.037440440244207,-0.1878617798701197,-1.0446307614444317,-0.2772903946940737,-0.4174964788914439,0.6739510045786807,-0.5504503633976101,-0.2916977019901799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2tBuDPAN,OPS41,-2.771477920473534,0.2790252100188368,-0.5409326017492917,0.7267135717614014,-1.300450973842901,0.09259929973097521,-1.2049680514163668,0.9697898852254976,0.6194618578146315,-1.655009923898538,-0.21755964624050023,0.8837693693519275,-0.4144237550927011,-0.32759839471720753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2MeDPAN,OPS42,-2.4548122675816946,-0.11767632776014558,-0.6628613361751677,0.5597947376857214,-0.9515962203554234,1.3097214206512402,-0.9021646454718334,0.343469809173265,-1.2226271025724353,-0.10336295218465417,-0.37569162568338743,0.9855883233799498,-0.9711832790237496,-0.2673592819266148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2DPAA,OPS43,-2.707331553853967,-0.03624538272150114,-0.1707273841533072,0.08718598798278933,-0.5115862296394976,-0.6305245595095444,-0.8312889062427271,-0.6812666115582222,-1.0063538786792994,-0.16277297385370748,0.11326008362738582,0.5730028694690776,-0.49726047873123413,-0.17600648628895693,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2tBuDPAA,OPS44,-2.840431078866994,0.13953284689202167,-0.7524076783134357,0.5508156835778297,-1.4466380988831473,-0.09114572658779906,-0.9988165174148865,0.4763850535373954,0.6577387405797643,-1.5404925030581726,0.3131969162783296,0.7828212342423249,-0.3612338704263252,-0.21190717901598474,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2MeDPAA,OPS45,-2.523765425975153,-0.2571686908869611,-0.8743364127393128,0.38389684950214986,-1.097783345395669,1.125976394332467,-0.6960131114703533,-0.14993502251483706,-1.184350219807303,0.011154468655712034,0.15506493683544223,0.8846401882703475,-0.9179933943573733,-0.15166806622539214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2OMeDPAA,OPS46,-2.372459525438866,-0.2908059455869102,-0.8146392575425956,1.1566361960915532,-1.6864694873590118,-1.0783673272246712,1.132830247032043,0.055063251115205776,-1.2095905345716977,-0.46043724261149654,-0.017745793197325093,0.7610595661111609,-0.7386653644897123,-0.7596398529796285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3DPANB,OPS47,-2.872225606358268,-0.4024046068673096,-0.0008396047707946415,0.4178907023339605,0.14217327983781647,-0.4408584655655349,-0.5020616609381394,-0.5979551142617925,-0.3399121854612588,0.4716520242047255,-0.8765204772428306,0.604000820293171,-0.2522009890706124,0.3212986927662276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CF3PhDPZ,OPS48,-2.2384392593748457,1.2222553676872236,1.2478181050989778,-0.8132329175679187,0.08410634281456716,0.6287937582168718,0.8009200122178001,0.18037170306992112,0.3459667755812219,-1.2172497920971819,0.2762838297275493,0.6049724795787575,1.3386413575845555,-0.18197686131612006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15
NapDPZ,OPS49,-1.7718998351477333,1.2444143266010166,1.5036341022020219,-0.4318831262246855,-0.1947746664886229,0.30235839618278354,1.176805342149283,-0.1028893393100435,-0.4167792271273795,0.19249468401845582,0.24408487557018177,0.5430202461765383,1.0041061937144875,0.15187293815461933,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
5CzBN,OPS50,-0.08022007243066759,2.25924815952131,-1.4493388024916252,-1.3105345582352943,0.6964849829703682,-0.8456566458296764,-0.18131673603761683,0.1993007860728143,-0.7595737480110665,0.21070772833660778,-0.4723876524515328,-0.4580879194331246,-0.1558232536439358,-0.21410665786732158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79
2DPABz,OPS51,-3.197695015948097,-0.8363248782899816,-0.16178727581581798,0.6499276799671773,0.36484924547920916,-0.388134747030034,-0.4907746218672149,-0.23223831812783158,-0.4015125547636284,0.5057444560025512,-1.2175682434514088,-0.33771201702694986,0.4425459435530056,0.38851945783641395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DPABT,OPS52,-2.353384485971079,-1.0964712796973575,0.6414881374170813,1.0669823960561182,0.5817387004895408,-0.31814491666890743,-0.3148904983227155,-0.2666719059402009,-0.4405506465675603,0.1915350972254777,0.0739614313069318,-0.4084894097870582,-0.08048080236583688,0.3141174129694316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PhPTZ,OPS53,-2.348524191435514,1.3268538139152326,1.7070023035649111,-0.5893617585754156,0.6185433258555392,0.5298793432417914,1.4654202440349686,-0.8706019972260387,-0.7346994950020126,-0.2453550014966311,0.4582707875336185,0.6636287252879909,1.229876373375445,0.9355232253544282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ph_bPTZ,OPS54,-2.0698704330283566,1.4998342208729258,2.227434922621994,-0.39378023706881804,0.2861531911942466,0.5302437879050022,1.9240253598484873,-0.9329632031254704,-0.5491619627169361,-0.1576518014244908,0.6381521956584907,0.6361283793274275,1.1399375316509939,1.2124567287282595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
perylene,OPS55,-1.6169305440938198,0.6280380080366569,0.9839484013967412,-0.8517864607589558,-1.0008449883452963,0.15276403938598557,-0.06341041615415034,0.26735850450000576,-0.35260973319638456,0.3946420984431917,-0.5185161986083838,-0.03253796669142032,-0.059538830749378116,-0.5545398239691715,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9_10_DCA,OPS56,-0.7026406990549733,0.5910512431378212,-0.4217720171375001,-1.3962536431083505,-0.3219250922071603,-0.5557260330418663,-0.2742052219274064,-0.3445005703176525,-0.5063015249012062,0.11761969302618544,-0.1042946108307474,0.08225560662962203,-0.07592674251670732,-0.1727086465957604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Me_TAPB,OPS57,-2.0195523271185403,-0.4873666419787655,0.02716643109470897,0.0613127462546145,0.14296598206048985,0.6674534161526635,0.5982506738435396,0.07791692217943158,0.6657831502382416,0.3714186534458739,-0.46681936725889844,0.17318956247332068,-0.3501891252754908,-0.3543846304915168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Et_bodipy,OPS58,-1.7474893475404112,0.5723556673357894,-0.5853975506758118,-0.36142445169826704,-0.1627932599873233,1.535638459077481,0.9121689253697474,-0.7792242017366731,0.2184542303473669,0.7242871217952991,-0.9075005030588507,1.2232102599772388,2.60168893903107,-2.7512187062582867,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TPP+,OPS59,-1.8297086886803733,0.328783704731674,1.0545775587441841,-0.27948178298713583,0.738597191953794,-0.06368903143795313,0.16531860071970786,-0.29320483035240064,0.4117925902541283,1.0076850231431076,-0.4164892183218399,0.6675537858462048,-0.595630840190572,-0.22958202278750114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Acr+_Mes,OPS60,-1.4445367384245877,0.8471609029345997,0.2924814456641106,-0.2467088214030446,-0.8810592738219518,1.1093801318135321,-0.23392480800626828,0.18647455462980336,-0.6413594842666889,0.7509097010174791,-0.875672510896032,1.1927502018461817,-0.5344943014974087,-0.546227264676035,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
