Run_index,total_selected_OPS
0,11
1,18
2,13
3,21
4,12
5,19
6,15
7,19
8,21
9,23
10,11
11,11
12,17
13,12
14,19
15,15
16,14
17,14
18,18
19,19
20,18
21,17
22,15
23,16
24,16
25,13
26,21
27,20
28,24
29,22
30,20
31,20
32,14
33,24
34,14
35,20
36,13
37,13
38,19
39,14
40,19
41,15
42,20
43,17
44,23
45,13
46,22
47,14
48,13
49,11
50,12
51,22
52,13
53,20
54,12
55,13
56,16
57,12
58,14
59,25
