Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,50,57
1,1,21
2,51,57
3,50,57
4,50,57
5,21,51
6,50,57
7,50,57
8,50,57
9,51,58
10,49,57
11,50,57
12,50,57
13,43,49
14,1,50
15,43,49
16,50,57
17,50,57
18,50,57
19,50,57
20,50,57
21,49,57
22,50,57
23,50,57
24,51,58
25,50,57
26,50,57
27,50,57
28,50,57
29,50,57
30,16,51
31,49,57
32,50,57
33,49,57
34,51,57
35,42,51
36,50,57
37,50,57
38,50,57
39,44,50
40,50,57
41,23,53
42,26,52
43,51,57
44,50,57
45,50,57
46,51,58
47,50,57
48,42,51
49,50,57
50,50,57
51,50,57
52,50,57
53,25,50
54,50,57
55,50,57
56,50,57
57,51,57
58,19,51
59,2,49
