Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,12,20
1,14,23
2,12,20
3,13,18
4,13,17
5,2,18
6,11,21
7,11,22
8,14,21
9,13,22
10,15,24
11,13,20
12,12,16
13,14,21
14,19,23
15,13,21
16,13,19
17,13,21
18,14,21
19,14,18
20,12,22
21,14,21
22,14,22
23,13,21
24,13,22
25,11,20
26,13,24
27,9,21
28,1,20
29,13,21
30,9,23
31,13,18
32,14,18
33,13,24
34,14,24
35,12,22
36,14,22
37,12,16
38,13,20
39,13,20
40,1,19
41,13,18
42,2,19
43,15,21
44,14,16
45,13,21
46,12,22
47,13,26
48,13,22
49,13,18
50,14,21
51,12,21
52,15,22
53,13,26
54,14,22
55,12,21
56,13,24
57,12,20
58,14,21
59,14,20
