Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,18,21
1,36,43
2,30,32
3,28,45
4,46,51
5,20,50
6,25,45
7,30,35
8,46,60
9,3,5
10,20,26
11,24,31
12,23,44
13,40,52
14,11,39
15,38,53
16,38,55
17,11,46
18,4,11
19,19,37
20,12,47
21,6,38
22,47,57
23,42,55
24,15,39
25,14,19
26,36,37
27,12,18
28,38,53
29,43,48
30,13,56
31,33,49
32,23,53
33,22,57
34,55,57
35,10,34
36,7,58
37,14,21
38,15,36
39,55,57
40,8,45
41,44,58
42,54,58
43,9,45
44,50,52
45,4,53
46,47,54
47,35,45
48,33,41
49,34,40
50,8,47
51,34,53
52,26,33
53,36,46
54,25,52
55,27,34
56,39,49
57,55,56
58,1,26
59,56,60
