Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,18,29
1,16,43
2,31,32
3,16,28
4,41,51
5,11,50
6,30,45
7,12,30
8,15,46
9,5,55
10,20,32
11,31,50
12,9,23
13,40,54
14,4,11
15,22,53
16,24,38
17,46,54
18,11,60
19,8,37
20,14,47
21,6,49
22,54,57
23,31,55
24,39,56
25,14,37
26,28,37
27,18,46
28,38,54
29,4,48
30,4,56
31,26,33
32,17,53
33,22,49
34,6,57
35,20,34
36,50,58
37,21,25
38,15,26
39,45,57
40,37,45
41,29,44
42,4,58
43,36,45
44,50,54
45,28,53
46,9,47
47,27,45
48,4,33
49,25,34
50,8,14
51,27,34
52,26,48
53,30,46
54,21,25
55,27,52
56,8,39
57,21,56
58,3,26
59,40,56
