Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,15,35
1,23,50
2,36,41
3,4,53
4,1,27
5,25,36
6,12,27
7,4,23
8,30,36
9,17,41
10,1,4
11,47,60
12,10,39
13,22,32
14,13,46
15,11,24
16,47,54
17,4,25
18,52,57
19,1,10
20,38,52
21,33,56
22,28,55
23,18,44
24,41,43
25,31,53
26,2,42
27,35,41
28,18,51
29,3,45
30,18,24
31,7,39
32,32,37
33,41,58
34,11,18
35,11,35
36,24,51
37,48,53
38,12,60
39,11,17
40,46,52
41,14,43
42,32,60
43,18,19
44,12,41
45,16,29
46,17,53
47,13,17
48,11,25
49,13,43
50,4,56
51,24,43
52,45,46
53,29,35
54,28,58
55,3,12
56,30,38
57,22,49
58,10,52
59,7,10
