Yield
50
54
48
25
31
52
47
22
40
57
47
24
33
46
57
37
51
29
41
30
20
31
13
21
26
37
9
14
18
13
14
6
59
8
1
3
11
13
11
6
5
6
36
18
30
7
8
9
8
53
10
9
16
10
24
11
5
0
0
0
