Yield
1
2
2
2
1
2
11
13
13
5
1
3
1
2
10
2
8
2
6
34
19
14
6
1
15
1
80
73
81
63
47
1
1
1
2
24
1
56
46
73
81
75
27
7
42
3
2
3
46
2
14
77
6
31
34
2
3
5
3
2
