Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,12,15
1,11,24
2,22,30
3,11,18
4,11,24
5,2,11
6,9,18
7,10,17
8,21,26
9,3,15
10,13,27
11,12,27
12,27,40
13,27,32
14,11,20
15,13,28
16,9,20
17,10,22
18,15,25
19,11,20
20,11,23
21,11,26
22,13,26
23,12,24
24,11,27
25,12,25
26,11,20
27,10,20
28,1,17
29,11,16
30,10,24
31,22,29
32,35,45
33,10,22
34,13,28
35,19,28
36,10,22
37,11,20
38,10,18
39,12,20
40,1,11
41,10,14
42,2,13
43,24,32
44,11,20
45,12,22
46,12,21
47,12,27
48,32,45
49,12,23
50,10,29
51,10,17
52,23,29
53,12,16
54,13,28
55,24,30
56,9,19
57,12,19
58,11,29
59,23,35
