Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,19
1,7,22
2,7,24
3,4,23
4,8,25
5,8,25
6,7,23
7,7,23
8,7,23
9,7,23
10,7,22
11,10,19
12,6,24
13,8,25
14,7,23
15,7,22
16,11,22
17,7,24
18,10,15
19,12,23
20,8,24
21,8,19
22,10,23
23,12,15
24,8,23
25,7,24
26,13,22
27,12,22
28,1,18
29,7,18
30,8,18
31,10,19
32,7,26
33,13,20
34,13,25
35,7,26
36,13,17
37,6,25
38,5,24
39,5,24
40,1,24
41,7,25
42,8,22
43,10,19
44,7,22
45,8,26
46,8,27
47,13,22
48,8,26
49,7,26
50,10,19
51,5,12
52,12,20
53,5,24
54,12,18
55,12,24
56,6,30
57,8,26
58,12,26
59,15,18
