Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,20,26
1,1,30
2,4,5
3,27,32
4,23,30
5,20,22
6,27,36
7,24,27
8,6,8
9,24,34
10,26,33
11,6,26
12,16,17
13,12,13
14,1,4
15,24,31
16,23,35
17,7,22
18,34,39
19,31,34
20,27,32
21,23,27
22,25,30
23,10,12
24,27,30
25,18,22
26,4,5
27,33,36
28,25,27
29,20,25
30,5,18
31,27,32
32,23,33
33,18,19
34,5,27
35,32,36
36,17,20
37,31,35
38,4,5
39,24,36
40,18,20
41,15,16
42,15,16
43,23,30
44,18,19
45,4,5
46,27,33
47,34,38
48,19,24
49,24,27
50,16,17
51,10,13
52,24,35
53,6,12
54,22,25
55,27,38
56,19,23
57,32,37
58,24,32
59,24,30
